date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:07:33	892553/892553	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:07:33%20GMT	https://preview.keenthemes.com/metronic8/demo1/dashboards/logistics.html	/home/ilahazs/websites/Metronic/preview.keenthemes.com/metronic8/demo1/dashboards/logistics.html	(from )
17:07:35	36/36	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Jun%202023%2010:07:34%20GMT	https://preview.keenthemes.com/robots.txt		(from )
17:07:35	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Jun%202023%2010:07:35%20GMT	https://preview.keenthemes.com/metronic8	/home/ilahazs/websites/Metronic/preview.keenthemes.com/metronic8	(from https://preview.keenthemes.com/metronic8/demo1/dashboards/logistics.html)
17:07:36	18278/18278	---M--	200	added ('OK')	image/x-icon	etag:%22641d18b9-4766%22	https://preview.keenthemes.com/metronic8/demo1/assets/media/logos/favicon.ico	/home/ilahazs/websites/Metronic/preview.keenthemes.com/metronic8/demo1/assets/media/logos/favicon.ico	(from https://preview.keenthemes.com/metronic8/demo1/dashboards/logistics.html)
17:07:38	1050/1050	---MC-	200	added ('OK')	text/css	date:Wed,%2021%20Jun%202023%2010:07:37%20GMT	https://fonts.googleapis.com/css?family=Inter:300,400,500,600,700	/home/ilahazs/websites/Metronic/fonts.googleapis.com/css7b91.css	(from https://preview.keenthemes.com/metronic8/demo1/dashboards/logistics.html)
17:07:39	39832/39832	---MCZ	200	added ('OK')	text/css	etag:W/%22641d2178-9b98%22	https://preview.keenthemes.com/metronic8/demo1/assets/plugins/custom/datatables/datatables.bundle.css	/home/ilahazs/websites/Metronic/preview.keenthemes.com/metronic8/demo1/assets/plugins/custom/datatables/datatables.bundle.css	(from https://preview.keenthemes.com/metronic8/demo1/dashboards/logistics.html)
17:07:40	25873/25873	---MCZ	200	added ('OK')	text/css	etag:W/%22641d2154-6511%22	https://preview.keenthemes.com/metronic8/demo1/assets/plugins/custom/vis-timeline/vis-timeline.bundle.css	/home/ilahazs/websites/Metronic/preview.keenthemes.com/metronic8/demo1/assets/plugins/custom/vis-timeline/vis-timeline.bundle.css	(from https://preview.keenthemes.com/metronic8/demo1/dashboards/logistics.html)
17:07:41	862243/862243	---MCZ	200	added ('OK')	text/css	etag:W/%22641d217c-d2823%22	https://preview.keenthemes.com/metronic8/demo1/assets/plugins/global/plugins.bundle.css	/home/ilahazs/websites/Metronic/preview.keenthemes.com/metronic8/demo1/assets/plugins/global/plugins.bundle.css	(from https://preview.keenthemes.com/metronic8/demo1/dashboards/logistics.html)
17:07:42	1547859/1547859	---MCZ	200	added ('OK')	text/css	etag:W/%22641d2176-179e53%22	https://preview.keenthemes.com/metronic8/demo1/assets/css/style.bundle.css	/home/ilahazs/websites/Metronic/preview.keenthemes.com/metronic8/demo1/assets/css/style.bundle.css	(from https://preview.keenthemes.com/metronic8/demo1/dashboards/logistics.html)
17:07:42	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2021%20Jun%202023%2010:07:42%20GMT	https://www.googletagmanager.com/gtm.js?id=	/home/ilahazs/websites/Metronic/www.googletagmanager.com/gtm.85445.delayed	(from https://preview.keenthemes.com/metronic8/demo1/dashboards/logistics.html)
17:07:43	2377/2377	---M--	200	added ('OK')	image/svg+xml	etag:%22641d18b9-949%22	https://preview.keenthemes.com/metronic8/demo1/assets/media/logos/default-small.svg	/home/ilahazs/websites/Metronic/preview.keenthemes.com/metronic8/demo1/assets/media/logos/default-small.svg	(from https://preview.keenthemes.com/metronic8/demo1/dashboards/logistics.html)
17:07:45	890234/890234	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:07:44%20GMT	https://preview.keenthemes.com/metronic8/demo1/dashboards/ecommerce.html	/home/ilahazs/websites/Metronic/preview.keenthemes.com/metronic8/demo1/dashboards/ecommerce.html	(from https://preview.keenthemes.com/metronic8/demo1/dashboards/logistics.html)
17:07:46	1154979/1154979	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:07:45%20GMT	https://preview.keenthemes.com/metronic8/demo1/dashboards/projects.html	/home/ilahazs/websites/Metronic/preview.keenthemes.com/metronic8/demo1/dashboards/projects.html	(from https://preview.keenthemes.com/metronic8/demo1/dashboards/logistics.html)
17:07:47	946309/946309	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:07:46%20GMT	https://preview.keenthemes.com/metronic8/demo1/dashboards/online-courses.html	/home/ilahazs/websites/Metronic/preview.keenthemes.com/metronic8/demo1/dashboards/online-courses.html	(from https://preview.keenthemes.com/metronic8/demo1/dashboards/logistics.html)
17:07:48	893022/893022	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:07:47%20GMT	https://preview.keenthemes.com/metronic8/demo1/dashboards/marketing.html	/home/ilahazs/websites/Metronic/preview.keenthemes.com/metronic8/demo1/dashboards/marketing.html	(from https://preview.keenthemes.com/metronic8/demo1/dashboards/logistics.html)
17:07:49	1004765/1004765	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:07:48%20GMT	https://preview.keenthemes.com/metronic8/demo1/dashboards/bidding.html	/home/ilahazs/websites/Metronic/preview.keenthemes.com/metronic8/demo1/dashboards/bidding.html	(from https://preview.keenthemes.com/metronic8/demo1/dashboards/logistics.html)
