date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:50:14	42395/42395	---M--	200	added ('OK')	text/css	etag:%2264257353-a59b%22	https://demos.pixinvent.com/materialize-html-admin-template/assets/vendor/css/rtl/theme-bordered.css	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/assets/vendor/css/rtl/theme-bordered.css	(from )
09:50:15	114/114	------	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2002:49:04%20GMT	https://demos.pixinvent.com/robots.txt		(from )
09:50:15	101503/101503	---MCZ	200	added ('OK')	text/html	etag:W/%2264257353-18c7f%22	https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html	(from )
09:50:16	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Jul%202023%2002:50:16%20GMT	https://1.envato.market/materialize_admin	/home/ilahazs/websites/Dashboard/Materialize2/1.envato.market/materialize_admin.2.delayed	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:17	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2024%20Jul%202023%2002:50:17%20GMT	https://www.googletagmanager.com/gtm.js?id=	/home/ilahazs/websites/Dashboard/Materialize2/www.googletagmanager.com/gtm.35445.delayed	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:18	15406/15406	---M--	200	added ('OK')	image/x-icon	etag:%2264257353-3c2e%22	https://demos.pixinvent.com/materialize-html-admin-template/assets/img/favicon/favicon.ico	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/assets/img/favicon/favicon.ico	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:19	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2002:50:19%20GMT	https://fonts.gstatic.com/	/home/ilahazs/websites/Dashboard/Materialize2/fonts.gstatic.com/index.html	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:20	1145/1145	---MC-	200	added ('OK')	text/css	date:Mon,%2024%20Jul%202023%2002:50:19%20GMT	https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&display=swap	/home/ilahazs/websites/Dashboard/Materialize2/fonts.googleapis.com/css2ab8c.css	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:20	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2002:50:19%20GMT	https://fonts.googleapis.com/	/home/ilahazs/websites/Dashboard/Materialize2/fonts.googleapis.com/index.html	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:21	339440/339440	---M--	200	added ('OK')	text/css	etag:%2264257353-52df0%22	https://demos.pixinvent.com/materialize-html-admin-template/assets/vendor/fonts/materialdesignicons.css	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/assets/vendor/fonts/materialdesignicons.css	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:22	101054/101054	---M--	200	added ('OK')	text/css	etag:%2264257353-18abe%22	https://demos.pixinvent.com/materialize-html-admin-template/assets/vendor/fonts/fontawesome.css	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/assets/vendor/fonts/fontawesome.css	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:23	552746/552746	---M--	200	added ('OK')	text/css	etag:%2264257353-86f2a%22	https://demos.pixinvent.com/materialize-html-admin-template/assets/vendor/css/rtl/core.css	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/assets/vendor/css/rtl/core.css	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:23	41204/41204	---M--	200	added ('OK')	text/css	etag:%2264257353-a0f4%22	https://demos.pixinvent.com/materialize-html-admin-template/assets/vendor/css/rtl/theme-default.css	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/assets/vendor/css/rtl/theme-default.css	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:24	2553/2553	---M--	200	added ('OK')	text/css	etag:%2264257353-9f9%22	https://demos.pixinvent.com/materialize-html-admin-template/assets/css/demo.css	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/assets/css/demo.css	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:25	5473/5473	---M--	200	added ('OK')	text/css	etag:%2264257353-1561%22	https://demos.pixinvent.com/materialize-html-admin-template/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:26	4080/4080	---M--	200	added ('OK')	text/css	etag:%2264257353-ff0%22	https://demos.pixinvent.com/materialize-html-admin-template/assets/vendor/libs/node-waves/node-waves.css	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/assets/vendor/libs/node-waves/node-waves.css	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:27	1891/1891	---M--	200	added ('OK')	text/css	etag:%2264257353-763%22	https://demos.pixinvent.com/materialize-html-admin-template/assets/vendor/libs/typeahead-js/typeahead.css	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/assets/vendor/libs/typeahead-js/typeahead.css	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:28	20327/20327	---M--	200	added ('OK')	text/css	etag:%2264257353-4f67%22	https://demos.pixinvent.com/materialize-html-admin-template/assets/vendor/libs/datatables-bs5/datatables.bootstrap5.css	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/assets/vendor/libs/datatables-bs5/datatables.bootstrap5.css	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:30	4774/4774	---M--	200	added ('OK')	text/css	etag:%2264257353-12a6%22	https://demos.pixinvent.com/materialize-html-admin-template/assets/vendor/libs/datatables-responsive-bs5/responsive.bootstrap5.css	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/assets/vendor/libs/datatables-responsive-bs5/responsive.bootstrap5.css	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:31	19808/19808	---M--	200	added ('OK')	text/css	etag:%2264257353-4d60%22	https://demos.pixinvent.com/materialize-html-admin-template/assets/vendor/libs/apex-charts/apex-charts.css	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/assets/vendor/libs/apex-charts/apex-charts.css	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:33	17953/17953	---M--	200	added ('OK')	text/css	etag:%2264257353-4621%22	https://demos.pixinvent.com/materialize-html-admin-template/assets/vendor/libs/swiper/swiper.css	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/assets/vendor/libs/swiper/swiper.css	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:33	2606/2606	---M--	200	added ('OK')	text/css	etag:%2264257353-a2e%22	https://demos.pixinvent.com/materialize-html-admin-template/assets/vendor/css/pages/cards-statistics.css	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/assets/vendor/css/pages/cards-statistics.css	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:34	315/315	---M--	200	added ('OK')	text/css	etag:%2264257353-13b%22	https://demos.pixinvent.com/materialize-html-admin-template/assets/vendor/css/pages/cards-analytics.css	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/assets/vendor/css/pages/cards-analytics.css	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:35	20999/20999	---M--	200	added ('OK')	application/javascript	etag:%2264257353-5207%22	https://demos.pixinvent.com/materialize-html-admin-template/assets/vendor/js/helpers.js	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/assets/vendor/js/helpers.js	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:36	41459/41459	---M--	200	added ('OK')	application/javascript	etag:%2264257353-a1f3%22	https://demos.pixinvent.com/materialize-html-admin-template/assets/vendor/js/template-customizer.js	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/assets/vendor/js/template-customizer.js	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:37	1030/1030	---M--	200	added ('OK')	application/javascript	etag:%2264257354-406%22	https://demos.pixinvent.com/materialize-html-admin-template/assets/js/config.js	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/assets/js/config.js	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:39	100947/100947	---MCZ	200	added ('OK')	text/html	etag:W/%2264257353-18a53%22	https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/index.html	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/index.html	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:40	106926/106926	---MCZ	200	added ('OK')	text/html	etag:W/%2264257353-1a1ae%22	https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-ecommerce.html	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-ecommerce.html	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:41	66540/66540	---MCZ	200	added ('OK')	text/html	etag:W/%2264257353-103ec%22	https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/layouts-collapsed-menu.html	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/layouts-collapsed-menu.html	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
09:50:42	66375/66375	---MCZ	200	added ('OK')	text/html	etag:W/%2264257353-10347%22	https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/layouts-content-navbar.html	/home/ilahazs/websites/Dashboard/Materialize2/demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/layouts-content-navbar.html	(from https://demos.pixinvent.com/materialize-html-admin-template/html/vertical-menu-template/dashboards-crm.html)
